Sample,Growth_system,Shoot_FW,Shoot_Area,LR_number,PR_Length
49A-01,rhizotron,22.3,1.51,20,11.3
49A-02,rhizotron,38.4,2.46,25,12.5
49A-03,rhizotron,27.2,1.77,26,12.2
49A-04,rhizotron,23,1.58,16,10.5
49A-05,rhizotron,11.66,0.95,16,10.5
49A-06,rhizotron,17,1.15,18,11.5
49A-07,rhizotron,28.4,1.78,24,12.5
49A-08,rhizotron,22.4,1.47,16,10
49B-01,cylinder,18.7,1.57,13,7
49B-03,cylinder,23.3,2.05,12,8.5
49B-04,cylinder,27.1,1.69,14,8.8
49B-05,cylinder,16.4,1.05,12,7.6
49B-06,cylinder,27.4,1.7,16,10
49B-07,cylinder,19.7,1.34,14,8.9
49B-08,cylinder,22.8,1.51,13,8
49C-01,pot,25.6,1.54,16,5.2
49C-02,pot,24.9,1.51,15,3.6
49C-03,pot,28.3,1.49,14,4.3
49C-04,pot,32.4,1.93,13,3.9
49C-05,pot,11.7,0.78,11,3.3
49C-06,pot,16.3,1.12,14,3.8
49C-07,pot,28.4,1.77,17,4.6
49C-08,pot,21.6,1.24,13,4.1
49C-09,pot,23.4,1.34,12,3.4
49C-10,pot,27.7,1.48,14,4.7
49C-11,pot,25.6,1.39,18,4.1
49C-14,pot,14.7,0.82,14,3.4
49C-15,pot,9.9,0.64,13,2.7
49C-16,pot,20.1,1.09,13,4.2
