angles,p.values.accession_p.values,p.values.accession_adjusted.p.values,p.values.accession_q.values,post.hoc.col.bay,post.hoc.sha.bay,post.hoc.sha.col
16,5.76282276196303E-008,2.65089847050299E-006,1.13563820073448E-007,0.0083165698,4.08043263622204E-008,2.6066078840925E-005
78,4.36203177756599E-007,8.97631118798098E-006,3.34339425643585E-007,0.2776789454,5.43933489582926E-007,1.62369450519284E-005
14,0.000000661,8.97631118798098E-006,3.71750604800493E-007,0.0087097851,4.22600093141767E-007,0.0004714663
80,7.80548798954868E-007,8.97631118798098E-006,3.84542901215574E-007,0.3887704778,1.06651303277694E-006,0.000021522
76,2.6346594032211E-006,2.42388665096341E-005,8.02130237294331E-007,0.3986102405,3.34208807450942E-006,7.11747545067976E-005
18,3.88335277231895E-006,2.59871246944133E-005,9.40363167511335E-007,0.0058667886,2.38820937270567E-006,0.0056278723
12,4.60753892873811E-006,2.59871246944133E-005,9.97362468118972E-007,0.0273759547,3.05228764396759E-006,0.0015531869
24,5.08055688713908E-006,2.59871246944133E-005,1.02848647024907E-006,0.030762265,3.39427323581276E-006,0.0015522239
62,5.37582767315076E-006,2.59871246944133E-005,1.04594950259391E-006,0.0528155667,3.83254480351702E-006,0.001000147
26,6.33758936255448E-006,2.59871246944133E-005,1.09447396427573E-006,0.229942428,6.1546946398261E-006,0.0002993996
74,6.36624876883052E-006,2.59871246944133E-005,1.09575312222525E-006,0.2042311464,0.000005964,0.0003376135
72,6.77924992028173E-006,2.59871246944133E-005,1.11328184985622E-006,0.1112813883,5.4411663785725E-006,0.0006410431
82,0.00000819,0.00002898,1.19444716219843E-006,0.7909629913,1.50211144366308E-005,8.91886128850938E-005
28,0.000008933,2.93512535728718E-005,1.23029663692666E-006,0.274360817,8.97461698290414E-006,0.0003546812
70,9.5782268201294E-006,2.93732289150635E-005,1.25834169833503E-006,0.1856111027,8.50124685836118E-006,0.0005617151
86,1.24364877270982E-005,3.57549022154072E-005,1.49026007190125E-006,0.9951924628,3.55033803818294E-005,6.82792853423653E-005
10,1.53057600966608E-005,4.10579301733947E-005,1.68539671704378E-006,0.0760677554,1.09745022693897E-005,0.0021546313
64,1.60661465895892E-005,4.10579301733947E-005,1.73191811549186E-006,0.029278558,1.03574503445003E-005,0.0057087594
6,0.000017489,4.23418223994293E-005,1.81391296349358E-006,0.1260871369,1.36423254601947E-005,0.0015151973
68,2.09723390511904E-005,4.8236379817738E-005,2.06643431258108E-006,0.1166955807,1.59484132027377E-005,0.0019682199
60,2.77546939020063E-005,0.000060796,2.60448510067065E-006,0.0485965157,0.000018419,0.0062019535
66,4.2338450453577E-005,8.85258509483883E-005,3.69274199102926E-006,0.0323699299,2.71829366897958E-005,0.014378761
84,4.91591536126367E-005,9.83183072252735E-005,4.15069647154941E-006,0.9999980074,0.0001410225,0.0002163163
2,5.52043156221214E-005,0.0001058083,4.53279959719261E-006,0.7123834391,0.000079657,0.0006422786
8,8.51904124513748E-005,0.0001567504,6.5194289033341E-006,0.1139746377,6.05044215546968E-005,0.0082383166
90,0.0001043793,0.0001846711,7.65490886199227E-006,0.8948768147,0.000187758,0.000735238
4,0.000109477,0.0001865163,7.9408137067193E-006,0.3281478968,9.87641517592452E-005,0.0033843158
58,0.000131381,0.0002158402,9.10124369702502E-006,0.0369096911,8.54998148309694E-005,0.0393888355
88,0.0001408537,0.0002234232,9.5713919739345E-006,0.8304474925,0.0002218284,0.0011498904
56,0.0002322937,0.0003561837,1.525848413642E-005,0.0104295028,0.0001801494,0.226988586
54,0.0003236132,0.0004802002,2.0571656981498E-005,0.0129675764,0.0002518883,0.2464635245
0,0.0009390511,0.001349886,5.78287737959255E-005,0.3815826599,0.0007838247,0.02042246
22,0.0022397684,0.0031221014,0.0001307775,0.2644295438,0.0016509614,0.0667990116
30,0.0024255204,0.0032815864,0.0001405823,0.2573969474,0.0017778183,0.0736105796
20,0.0037778057,0.0049651161,0.0002117497,0.2968173342,0.00281163,0.0906172542
52,0.0047615088,0.0060841502,0.0002606435,0.0173837412,0.0071367786,0.9558894307
32,0.0262495951,0.0326346317,0.0013980594,0.3108176343,0.0202832334,0.3705924479
50,0.0658052615,0.0796590008,0.0034023295,0.0834111201,0.1333666347,0.9387023648
36,0.097240289,0.1146936742,0.004913448,0.6912725953,0.0838868857,0.3746535864
38,0.1799651671,0.2069599422,0.008687249,0.8493101047,0.1679306578,0.4238580291
34,0.2083481847,0.2337564999,0.0099055359,0.8770436641,0.1976260527,0.4441549622
48,0.2333334953,0.2555557329,0.010947943,0.3253649192,0.2800161195,0.9990633839
46,0.3269337853,0.3497431191,0.0149049833,0.4267111518,0.3741046923,0.9987937244
44,0.4199173489,0.4390045012,0.0186199905,0.4699668049,0.5129857879,0.9922433594
40,0.4572847686,0.4674466523,0.0200562677,0.9902133836,0.5551454008,0.5007089942
42,0.8477688587,0.8477688587,0.036556609,0.8359490811,0.9749780854,0.9286826355
