image, area, convexhull, depth, width, circularity, ar, round, solidity, feret, feret_angle, massX, massY,shoot_area
50-22-bay-1-1.tif,7.183563,114.99492,22.481962,8.441558,0.52280915,2.6771262,0.3735349,0.9963017,22.534918,86.07122,0,10.037477,2.71
50-22-bay-2-2.tif,6.4070935,99.00363,22.32323,7.6623373,0.46998066,2.8704383,0.34837884,0.99586856,22.381659,85.859116,0,9.524536,3.06
50-22-bay-3-3.tif,6.898089,104.47517,19.639248,8.311687,0.6057987,2.232399,0.4479486,0.9962908,19.646505,88.44275,0,9.029006,2.69
50-22-bay-4-1.tif,6.8318734,74.988174,17.344877,7.619047,0.5462517,2.3341334,0.42842454,0.9953388,17.348051,91.09621,0,7.9048634,2.1
50-22-bay-5-2.tif,8.908712,80.322495,17.763348,6.6955266,0.5725725,2.7953975,0.35773087,0.9959632,17.790428,93.16178,0,8.847693,2.85
50-22-bay-6-3.tif,5.890279,90.274414,23.174603,6.363636,0.4193758,3.5146384,0.2845243,0.99542403,23.178123,90.99883,0,9.605903,2.74
50-22-bay-7-1.tif,7.4844527,126.3482,22.467531,10.15873,0.54685163,2.303326,0.4341548,0.9965028,22.492893,87.27893,0,9.6608305,2.14
50-22-col-2-4.tif,7.658732,88.954056,15.252524,9.307359,0.7355065,1.5790567,0.63328946,0.99627334,15.25679,91.3549,0,7.0562634,3.04
50-22-col-3-3.tif,7.0309353,118.23969,17.720057,11.515151,0.6975004,1.6120534,0.6203269,0.9967614,17.746412,93.12298,0,8.094618,3.2
50-22-col-4-2.tif,6.7610755,90.50575,13.189033,10.59163,0.8039468,1.2119,0.82515055,0.9965528,13.227656,85.62047,0,5.969993,2.7
50-22-col-5-1.tif,6.8930907,82.158,13.376623,9.451659,0.7868428,1.4482219,0.69050187,0.9964593,13.4001465,86.60455,0,6.4751987,2.55
50-22-sha-2-1.tif,9.271226,158.85675,21.12554,11.9624815,0.66314435,1.7748702,0.5634215,0.9971839,21.221914,84.537506,0,8.851944,2.13
50-22-sha-3-1.tif,8.58201,145.127,19.91342,11.9624815,0.66484964,1.6219175,0.61655414,0.9973027,20.046816,96.61346,0,8.282604,2.86
50-22-sha-4-2.tif,7.4436393,116.67509,17.316017,11.9624815,0.66896147,1.4836023,0.6740351,0.99696994,17.396732,84.47856,0,7.0331674,2.47
50-22-sha-5-3.tif,6.968886,127.47865,20.46176,11.471861,0.5959318,1.7888553,0.5590167,0.9964664,20.463795,90.80807,0,8.532063,3.9
50-22-sha-6-4.tif,8.033953,140.26848,19.307358,11.9624815,0.66502434,1.6019493,0.62423944,0.99715567,19.316422,88.24485,0,7.8337126,3.2
50-22-sha-7-5.tif,9.341198,153.86996,20.62049,11.9624815,0.6695869,1.6570891,0.6034678,0.9975081,20.648119,92.964386,0,8.4591,3.09
59-22-bay-2-1.tif,8.813554,147.3421,24.502163,10.40404,0.5479346,2.3427942,0.42684075,0.99683106,24.60935,84.650444,0,11.675274,3.49
59-22-bay-3-1.tif,10.185343,104.28277,20.01443,9.177488,0.57760316,2.1672494,0.46141437,0.99607193,20.045248,86.82246,0,9.674496,4.74
59-22-bay-4-1.tif,9.84198,91.46609,21.71717,7.489177,0.4644196,2.901866,0.34460583,0.99558264,21.753426,93.30843,0,10.0893345,4.2
59-22-bay-5-1.tif,12.2769575,168.6627,25.093794,11.616161,0.5665635,2.260562,0.4423679,0.99711823,25.126637,87.07022,0,11.129924,4.01
59-22-bay-6-1.tif,8.365448,120.38233,25.815294,7.965368,0.44000533,3.5487466,0.28178963,0.99611986,25.817429,89.26343,0,12.045606,4.38
59-22-col-1-1.tif,8.936611,99.72576,15.310245,10.7503605,0.76664037,1.3900052,0.71942174,0.9965822,15.329334,92.85971,0,7.199966,2.45
59-22-col-3-1.tif,6.3175564,59.67966,13.434342,7.7056274,0.67825735,1.6799111,0.59526956,0.9950769,13.434374,90.123085,0,6.448733,1.85
59-22-col-4-1.tif,7.6666484,105.009056,14.675324,10.17316,0.824678,1.3969371,0.71585184,0.99707186,14.750397,84.2169,0,7.088604,3.18
59-22-col-5-1.tif,8.70819,108.46143,16.536797,9.696969,0.7722418,1.5682088,0.63767016,0.9966907,16.57805,85.95702,0,8.252042,3.89
59-22-col-6-1.tif,6.5659685,101.8078,16.681095,10.057719,0.7221057,1.6026586,0.62396324,0.99650764,16.698618,87.374954,0,7.84101,2.82
59-22-sha-1-1.tif,7.1146407,105.42842,18.513708,10.51948,0.6164496,1.8500637,0.5405219,0.996186,18.574432,94.63426,0,8.104525,2.26
59-22-sha-2-1.tif,9.05988,187.36528,22.842712,11.9624815,0.70410454,1.7558366,0.56952906,0.9980451,22.916107,94.58687,0,9.782622,3.73
59-22-sha-3-1.tif,7.9781537,154.39323,21.673882,11.9624815,0.6499594,1.7820073,0.5611649,0.997261,21.698769,92.74444,0,9.193113,4.83
59-22-sha-4-1.tif,8.39731,159.16284,21.74603,11.9624815,0.68242514,1.743797,0.5734613,0.997376,21.817175,94.62832,0,10.08914,2.82
59-22-sha-5-1.tif,9.13297,181.86064,22.409811,11.9624815,0.6901463,1.7272753,0.57894653,0.99793243,22.44825,86.646515,0,9.46597,4.14
59-22-sha-6-1.tif,6.9039207,118.868324,17.734488,10.56277,0.71236485,1.6538093,0.6046646,0.9968333,17.886013,82.536705,0,7.768738,3.64
