Sample,growth_system,shoot_fw,leaf_area,pr_length
39A01,rhizotron,10.3,0.76,9.3
39A02,rhizotron,9.5,0.82,10.1
39A03,rhizotron,12.1,0.97,10.5
39A04,rhizotron,11.2,0.84,8.7
39A05,rhizotron,10.3,0.8,8.2
39A06,rhizotron,9.9,0.7,7.4
39A07,rhizotron,10,0.82,10.5
39C01,pot,15.6,0.69,5.84
39C02,pot,13,0.77,5.76
39C03,pot,11.6,0.74,3.17
39C04,pot,12.7,0.6,6.99
39C05,pot,21,0.79,7.27
39C06,pot,20.6,1.08,4.27
39C07,pot,8.5,0.57,4.64
39F01,MS,3,0.29,2.57
39F02,MS,7.1,0.59,2.45
39F03,MS,12.9,0.83,3.04
39F04,MS,0.8,0.6,1
39F05,MS,9.1,0.53,3.1
39F06,MS,9.5,0.47,4.81
