angle,count_bay,count_col,count_sha
90,0.5536686182,0.8515824676,1.4791519642
88,0.5050069094,0.630001545,1.3616027832
86,0.5144077539,0.6721429825,1.2088263035
84,0.5299924016,0.753875792,1.1662853956
82,0.5314075351,0.7563953996,1.5236890316
80,0.5072857141,0.8524954319,1.4283903837
78,0.5095303059,1.1769759655,1.6087565422
76,0.672780633,1.1022051573,1.5420525074
74,0.7438126802,1.2322241068,1.4376899004
72,0.7569211721,1.2566822767,1.43146348
70,0.9686210752,1.4524102211,1.3291665316
68,0.9978220463,1.4430631399,1.3967024088
66,1.1990406513,1.4253504276,1.4841734171
64,1.3498504162,1.4751878977,1.4782236814
62,1.3678309917,1.4426429272,1.3029038906
60,1.3094190359,1.4863510132,1.2419785261
58,1.3659800291,1.6610828638,1.2890794277
56,1.3518428802,1.5849429369,1.2210174799
54,1.4840811491,1.5316736698,1.0701966286
52,1.3695254326,1.4839243889,0.9769343734
50,1.3773509264,1.546451211,1.0608639717
48,1.4160040617,1.4549052715,0.9505886436
46,1.739729166,1.8785330057,1.1982052326
44,1.1966944933,1.450294733,0.9213303924
42,1.3105266094,1.4754670858,0.8547776341
40,1.3947244883,1.404081583,0.8370059729
38,1.4264571667,1.2836004496,0.825866878
36,1.6129069328,1.2951159477,0.9028416276
34,1.5718271732,1.2182976007,0.9470387101
32,1.4744827747,1.0445719957,0.8321570158
30,1.3163607121,1.070307374,0.7599055767
28,1.2132792473,1.0399073362,0.7686729431
26,1.2421625853,1.0144979954,0.7101080418
24,1.3560268879,0.8643116951,0.677662611
22,1.2230020761,0.8594537377,0.7231500745
20,1.1838771105,0.9146658778,0.7017707825
18,1.2935419083,1.0000765324,0.7691797018
16,1.4184513092,0.8873416781,0.8438737988
14,1.4198127985,1.2244200706,0.7978906631
12,1.2679331303,1.0457618237,0.726724565
10,1.2308946848,1.0759693384,0.7224827409
8,1.1145987511,0.9434767365,0.6372323036
6,1.172654748,0.8794696927,0.6643754244
4,1.276050806,0.8896653056,0.646900773
2,1.4385118484,1.0166884661,0.6731615663
1.27222193825778E-013,1.5103749037,1.1947381496,0.7770451307
2,1.2030591965,0.8930079937,0.6933252215
4,1.2722473145,0.8321672082,0.698544085
6,1.16794765,0.9002091289,0.7501022816
8,1.2756351233,0.8310909867,0.7411872745
10,1.4251121283,1.0140633583,0.9065449238
12,1.7257028818,1.2156476974,0.9657527804
14,1.5751012564,1.1849274635,0.9701907039
16,1.6057033539,1.2027760744,0.9716191292
18,1.5379954576,1.1323658228,0.9380003214
20,1.4801528454,1.1653738022,0.8969555497
22,1.5043135881,1.0927374363,0.965552628
24,1.595025897,1.074655652,1.0486890078
26,1.4916535616,1.0510425568,1.090236187
28,1.3796708584,1.0909456015,1.1670905352
30,1.3154220581,1.1332966089,1.1120326519
32,1.3570028543,1.3607825041,1.2722957134
34,1.2948317528,1.422618866,1.2707914114
36,1.1268591881,1.134711504,1.3019828796
38,1.1952310801,1.0546025038,1.2879016399
40,0.9950134754,1.0721603632,1.3902505636
42,1.0661549568,1.2604137659,1.3347475529
44,1.2967069149,1.8382234573,1.7067745924
46,1.0760681629,1.2184369564,1.4308412075
48,1.1526125669,1.2373094559,1.4785907269
50,0.9806841016,1.228305459,1.3776659966
52,1.033487916,1.2834392786,1.2916818857
54,0.988971889,1.4936547279,1.2916142941
56,0.9069327116,1.3835401535,1.4384678602
58,0.8138170242,1.2698894739,1.3869796991
60,0.8800318837,0.9579082727,1.433916688
62,0.7849248052,1.005538106,1.3998957872
64,0.7196058631,0.9205151796,1.4339836836
66,0.6812655926,0.8695591688,1.3688793182
68,0.7364864349,0.821259737,1.1380469799
70,0.6238425374,0.8737692237,1.3202263117
72,0.523214817,0.7760234475,1.2517125607
74,0.6179479361,0.781126678,1.2410905361
76,0.6047727466,0.74239856,1.3115593195
78,0.5445437431,0.6112068892,1.2455916405
80,0.5051920414,0.6312368512,1.1887774467
82,0.5412273407,0.6737927198,1.0978099108
84,0.569686532,0.6566247344,1.1820229292
86,0.5835999846,0.6581518054,1.1100021601
88,0.4574753046,0.7052110434,1.1909778118
